datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01010536,Badenoch and Strathspey Central - 01,8.33,0,0,10,13.64,13.64
S01010537,Badenoch and Strathspey Central - 02,16.67,17.65,18.75,15.38,13.33,0
S01010538,Badenoch and Strathspey Central - 03,17.86,5.77,11.11,15,18.42,10.53
S01010539,Badenoch and Strathspey Central - 04,8.11,3.33,6.06,5.26,10.53,10.53
S01010540,Badenoch and Strathspey Central - 05,9.09,11.76,7.69,5.56,4.76,5.26
S01010541,Badenoch and Strathspey Central - 06,8.7,5,4.76,6.25,5,0
S01010542,Badenoch and Strathspey North - 01,5.56,12.5,11.11,14.29,13.33,13.33
S01010543,Badenoch and Strathspey North - 02,9.09,0,6.25,7.69,7.69,0
S01010544,Badenoch and Strathspey North - 03,21.43,28,30.77,28.57,16.13,10.34
S01010545,Badenoch and Strathspey North - 04,40,28.57,18.18,8.33,10.53,17.65
S01010546,Badenoch and Strathspey North - 05,14.81,21.05,25,20,14.29,7.69
S01010547,Badenoch and Strathspey North - 06,22.22,7.14,9.09,0,8.33,7.14
S01010531,Badenoch and Strathspey South - 01,17.65,9.09,5.56,3.45,0,0
S01010532,Badenoch and Strathspey South - 02,25,25,30,0,0,0
S01010533,Badenoch and Strathspey South - 03,42.86,50,0,0,0,0
S01010534,Badenoch and Strathspey South - 04,22.22,21.43,11.76,15,8.7,13.64
S01010535,Badenoch and Strathspey South - 05,0,0,0,7.14,10,11.11
S01010088,Baillieston East - 01,0,1.56,1.56,4.95,4.69,4.95
S01010089,Baillieston East - 02,25,25,13.33,12.5,17.65,23.08
S01010090,Baillieston East - 03,0,7.69,19.35,22.86,23.08,12.5
S01010091,Baillieston East - 04,4.76,5.56,5.88,8.11,5.88,2.86
S01010092,Baillieston East - 05,28.12,34.48,27.27,16.67,16.67,19.23
S01010093,Baillieston East - 06,9.09,13.64,15.79,9.52,22.73,20
S01010083,Baillieston West - 01,18.52,26.47,32.14,33.33,20,12.5
S01010084,Baillieston West - 02,27.27,19.05,16,14.29,23.53,20
S01010085,Baillieston West - 03,14.29,11.76,10.53,0,0,0
S01010086,Baillieston West - 04,18.52,30.77,37.5,33.33,33.33,31.82
S01010087,Baillieston West - 05,0,0,,33.33,12.5,7.69
S01009298,Balbridgeburn North,39.13,33.33,29.41,18.75,31.58,23.81
S01009300,Balbridgeburn South,6.67,11.76,18.75,18.18,23.53,15.79
S01008417,Balerno and Bonnington Village - 01,0,0,0,0,0,7.69
S01008418,Balerno and Bonnington Village - 02,0,0,0,5.56,5.26,6.67
S01008419,Balerno and Bonnington Village - 03,0,0,0,0,0,0
S01008420,Balerno and Bonnington Village - 04,0,0,0,0,0,0
S01008421,Balerno and Bonnington Village - 05,16.67,20.59,18.75,12.82,12.9,13.79
S01008422,Balerno and Bonnington Village - 06,0,0,0,0,0,0
S01008423,Balerno and Bonnington Village - 07,0,0,11.11,11.76,18.18,0
S01008424,Balerno and Bonnington Village - 08,0,0,0,7.69,7.69,7.14
