Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
51 Wine Bar & Bistro|51 Main Street,  DG8 0PP|DG8 0PP|Dumfries and Galloway|Other Catering|Tobacco Only|Glenluce Post Office and Store|Active
52|main street, neilston G78 3NJ|G78 3NJ|East Renfrewshire|Other Catering|Tobacco Only|Flames Tandoori Ltd|Active
524 Bar Ltd|524  George Street,  AB25 3XJ|AB25 3XJ|Aberdeen City|Public House|Tobacco Only|524 Bar Ltd|Active
5505 - Balmacara House|Aramark Balmacara House, Balmacara IV40 8DH|IV40 8DH|Highland|Other Catering|Tobacco Only|Aramark|Active
56 North|56 North, 2 West Crosscauseway EH8 9JP|EH8 9JP|Edinburgh City|Public House|Tobacco Only|Sutherland Hospitality Limited|Active
60-62 Main Road|60-62 Main Road, Kirkoswald KA19 8HY|KA19 8HY|South Ayrshire|Convenience Store|Tobacco Only|Kirkoswald P.O. and General Store|Inactive
7 Day news|275/277, Broughty Ferry DD5 2AG|DD5 2AG|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Farooq Traders Ltd|Active
7 Day News|325, Hilltown DD3 7AQ|DD3 7AQ|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Farooq Traders Ltd|Active
7 Days News|383 sauchiehall street, glasgow G2 3HU|G2 3HU|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|7 Days News|Active
7 Days News|275/277 Brook Street, Broughty Ferry DD5 2AG|DD5 2AG|Dundee City|Off-Licence|Tobacco And Nicotine Vapour Products|7 Days News Limited|Active
7 eleven new|6 kenneder drive,  G51 4PT|G51 4PT|Glasgow City|Other Retail|Tobacco Only|7 eleven news|Active
7 star spices|18 quarrywood avenue, Barrmulloch G21 3ES|G21 3ES|Glasgow City|Other Catering|Tobacco Only|7 star spices|Active
7 two 10  convenience  store limited  T/A 7 two 10 FAMILY SHOPPER |UNIT 1 ,1 Lothian Crescent,  DD4 0SX|DD4 0SX|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|7 TWO 10 CONVENIENCE STORE LIMITED |Active
